population,area,GDP in region,installed,use(TB),user(10000)
9766886,605,"433,488","10,482",3668.7,11039
3431750,770,"92,445","5,581",2080.8,5164
2454154,884,"57,756","3,481",446.5,808
2956700,"1,063","89,571","4,996",96.6,2289
1458940,501,"41,146","3,970",743.4,1368
1485509,540,"42,794","2,978",787.5,1655
1152293,"1,062","74,930","2,686",541.3,2455
324417,465,"11,863",0,135.1,295
13129508,"10,188","478,325","12,331",3918.8,6878
1540794,"16,828","48,625","5,224",184.8,338
1599488,"8,229","69,338","3,611",535.2,1870
2125912,"7,408","114,642","3,271",385.4,1370
1829273,"8,069","51,826","3,486",532.8,1933
1873183,"12,344","76,808","5,411",347.1,811
2670375,"19,033","107,312","5,949",303,534
3368933,"10,540","112,849","5,649",588.3,3488
668648,"1,850","20,261","1,926",0,0
